,d_spell,f_spell,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,server
d_spell,1.0,-0.6499981225802326,-0.001193294088334946,0.016074078156669728,-0.028016675383958703,0.016074078156669728,0.024720063787113628,-0.012673118002845252,0.024287494038413668,0.013863910016281823,-0.02637439748684865,-0.019270316061589774,-0.008715461224276367,-0.02802457206553696,-0.048429091382822774,-0.00945559295169626,-0.03831922875441475
f_spell,-0.6499981225802326,1.0,-0.10961611243893701,0.02603513310198157,-0.13527006207447737,0.02603513310198157,0.0038753567098700386,-0.03561184498086036,-0.03137556408432959,-0.01836660861911378,-0.03527486800624401,-0.04042724664234138,-0.027721610307133368,-0.09566655551415215,-0.10856521043462991,-0.07374027332571881,0.05868098555535962
assists,-0.001193294088334946,-0.10961611243893701,1.0,-0.13470640476532691,0.29610315960244055,-0.13470640476532691,0.013736444931416918,0.4261224209999972,0.13742998843334997,0.19854957671838425,0.199303846144686,0.21450205447440351,0.007264279757419912,0.3090211783333807,0.030413722890467246,0.1849762720515003,0.06380252207950954
damage_objectives,0.016074078156669728,0.02603513310198157,-0.13470640476532691,1.0,-0.012610128564254917,1.0,-0.25199647787312857,0.17503792963978307,0.0035987952828445786,0.08091761188349401,-0.0913004514999138,-0.2713357806750362,0.668841576287289,-0.2307651205655323,-0.09056239600675259,0.16881171899669564,-0.0010390747798914805
damage_building,-0.028016675383958703,-0.13527006207447737,0.29610315960244055,-0.012610128564254917,1.0,-0.012610128564254917,-0.25079914584445095,0.4292240012385225,0.3838721051232679,0.12405563128049579,-0.03540328988196328,0.16345863003049482,0.2831202672910387,0.33093058509761575,0.5513974539815664,0.4477739845032116,-0.030627750466264016
damage_turrets,0.016074078156669728,0.02603513310198157,-0.13470640476532691,1.0,-0.012610128564254917,1.0,-0.25199647787312857,0.17503792963978307,0.0035987952828445786,0.08091761188349401,-0.0913004514999138,-0.2713357806750362,0.668841576287289,-0.2307651205655323,-0.09056239600675259,0.16881171899669564,-0.0010390747798914805
deaths,0.024720063787113628,0.0038753567098700386,0.013736444931416918,-0.25199647787312857,-0.25079914584445095,-0.25199647787312857,1.0,-0.6683096271411122,-0.08662033798263827,0.03536791311001699,0.11233635881488743,0.5461683541036618,-0.24889181465306734,0.03876439338201609,-0.043239256273456275,0.015292596460477929,0.06910695999729204
kda,-0.012673118002845252,-0.03561184498086036,0.4261224209999972,0.17503792963978307,0.4292240012385225,0.17503792963978307,-0.6683096271411122,1.0,0.44370691630477294,0.07097183045369594,-0.006621637523563529,-0.24972527650491966,0.2606192305945418,0.10007020498529143,0.1016231110563331,0.2957520337667845,0.009844865676337907
kills,0.024287494038413668,-0.03137556408432959,0.13742998843334997,0.0035987952828445786,0.3838721051232679,0.0035987952828445786,-0.08662033798263827,0.44370691630477294,1.0,0.11861792160776094,-0.007121000234415839,0.15865715592176893,0.13990837341243953,0.15846200504758948,0.21709667419519862,0.7401600298260457,0.02754225301355857
level,0.013863910016281823,-0.01836660861911378,0.19854957671838425,0.08091761188349401,0.12405563128049579,0.08091761188349401,0.03536791311001699,0.07097183045369594,0.11861792160776094,1.0,0.11785931187131976,0.208290904214929,0.07385704683322346,0.18504148673648535,0.24470148612846934,0.43216111411316954,0.015422648648832617
time_cc,-0.02637439748684865,-0.03527486800624401,0.199303846144686,-0.0913004514999138,-0.03540328988196328,-0.0913004514999138,0.11233635881488743,-0.006621637523563529,-0.007121000234415839,0.11785931187131976,1.0,0.2668168948955564,-0.06339070775805151,0.10720463225134137,0.020665763173845657,0.023883181428365617,0.003567073838542556
damage_taken,-0.019270316061589774,-0.04042724664234138,0.21450205447440351,-0.2713357806750362,0.16345863003049482,-0.2713357806750362,0.5461683541036618,-0.24972527650491966,0.15865715592176893,0.208290904214929,0.2668168948955564,1.0,-0.18597773749141278,0.2388006316796543,0.18693229618130813,0.28868858723313107,0.0748117269056818
turret_kills,-0.008715461224276367,-0.027721610307133368,0.007264279757419912,0.668841576287289,0.2831202672910387,0.668841576287289,-0.24889181465306734,0.2606192305945418,0.13990837341243953,0.07385704683322346,-0.06339070775805151,-0.18597773749141278,1.0,-0.06783181804520898,0.069738685897751,0.27539939661212914,0.006445961927197302
vision_score,-0.02802457206553696,-0.09566655551415215,0.3090211783333807,-0.2307651205655323,0.33093058509761575,-0.2307651205655323,0.03876439338201609,0.10007020498529143,0.15846200504758948,0.18504148673648535,0.10720463225134137,0.2388006316796543,-0.06783181804520898,1.0,0.25026566848978316,0.2612733707894232,0.015227453497711221
damage_total,-0.048429091382822774,-0.10856521043462991,0.030413722890467246,-0.09056239600675259,0.5513974539815664,-0.09056239600675259,-0.043239256273456275,0.1016231110563331,0.21709667419519862,0.24470148612846934,0.020665763173845657,0.18693229618130813,0.069738685897751,0.25026566848978316,1.0,0.47516022290484256,-0.01522972408643037
gold_earned,-0.00945559295169626,-0.07374027332571881,0.1849762720515003,0.16881171899669564,0.4477739845032116,0.16881171899669564,0.015292596460477929,0.2957520337667845,0.7401600298260457,0.43216111411316954,0.023883181428365617,0.28868858723313107,0.27539939661212914,0.2612733707894232,0.47516022290484256,1.0,0.020829327511994067
server,-0.03831922875441475,0.05868098555535962,0.06380252207950954,-0.0010390747798914805,-0.030627750466264016,-0.0010390747798914805,0.06910695999729204,0.009844865676337907,0.02754225301355857,0.015422648648832617,0.003567073838542556,0.0748117269056818,0.006445961927197302,0.015227453497711221,-0.01522972408643037,0.020829327511994067,1.0
