d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
12.0,4.0,Lissandra,Side.red,2.0,4718.0,5312.0,4718.0,7.0,0.5714285714285714,2.0,13.0,22.0,18821.0,2.0,17.0,112905,10375,Many,1
4.0,12.0,Akali,Side.blue,2.0,2200.0,6713.0,2200.0,7.0,0.5714285714285714,2.0,13.0,1.0,23507.0,0.0,15.0,113385,9358,Many,1
4.0,12.0,Corki,Side.red,4.0,2301.0,4653.0,2301.0,7.0,0.5714285714285714,0.0,13.0,1.0,16409.0,0.0,13.0,119024,8589,Many,1
12.0,4.0,Syndra,Side.red,3.0,1324.0,1613.0,1324.0,7.0,0.5714285714285714,1.0,13.0,18.0,14249.0,1.0,10.0,84544,7252,Many,1
12.0,4.0,TwistedFate,Side.red,4.0,372.0,1849.0,372.0,12.0,0.583333333,3.0,14.0,57.0,29682.0,0.0,23.0,106887,10154,Many,2
4.0,12.0,Jayce,Side.blue,5.0,5480.0,10534.0,5480.0,12.0,0.5833333333333334,2.0,14.0,8.0,20989.0,1.0,30.0,144557,11542,Many,1
3.0,4.0,Taric,Side.red,7.0,353.0,4293.0,353.0,13.0,0.6153846153846154,1.0,14.0,19.0,27713.0,0.0,32.0,22999,6971,Few,0
4.0,12.0,Irelia,Side.red,4.0,5574.0,5644.0,5574.0,8.0,0.625,1.0,13.0,10.0,25855.0,2.0,8.0,119154,9394,Many,0
4.0,12.0,Veigar,Side.red,4.0,0.0,0.0,0.0,8.0,0.625,1.0,13.0,15.0,19200.0,0.0,26.0,92488,7820,Many,2
12.0,4.0,Akali,Side.red,0.0,381.0,381.0,381.0,8.0,0.625,5.0,14.0,1.0,18345.0,0.0,13.0,101717,9688,Many,1
4.0,12.0,Viktor,Side.red,2.0,961.0,961.0,961.0,8.0,0.625,3.0,14.0,9.0,19270.0,1.0,19.0,124589,9966,Many,2
12.0,4.0,Corki,Side.red,3.0,209.0,2702.0,209.0,8.0,0.625,2.0,14.0,3.0,20109.0,0.0,15.0,152071,10724,Many,1
4.0,12.0,Vex,Side.red,5.0,1388.0,3652.0,1388.0,11.0,0.636363636,2.0,13.0,27.0,19425.0,1.0,12.0,99491,8821,Many,2
7.0,4.0,Aphelios,Side.red,5.0,4677.0,6946.0,4677.0,11.0,0.6363636363636364,2.0,13.0,15.0,21942.0,1.0,27.0,114686,10602,Many,1
4.0,12.0,Graves,Side.red,5.0,807.0,4505.0,807.0,11.0,0.6363636363636364,2.0,14.0,18.0,28303.0,0.0,19.0,136029,10234,Many,0
4.0,7.0,Jhin,Side.blue,3.0,0.0,643.0,0.0,9.0,0.6666666666666666,3.0,13.0,17.0,22026.0,0.0,21.0,140132,10326,Many,1
4.0,3.0,Vayne,Side.red,1.0,2822.0,3927.0,2822.0,6.0,0.6666666666666666,3.0,13.0,3.0,14679.0,1.0,24.0,114758,10175,Many,0
4.0,3.0,Aphelios,Side.red,5.0,4877.0,5204.0,4877.0,15.0,0.6666666666666666,5.0,13.0,20.0,22421.0,1.0,13.0,82283,8937,Many,0
14.0,4.0,Akshan,Side.red,3.0,642.0,642.0,642.0,6.0,0.6666666666666666,1.0,13.0,0.0,15559.0,0.0,14.0,118249,8469,Many,0
4.0,14.0,Diana,Side.blue,1.0,3675.0,3871.0,3675.0,3.0,0.6666666666666666,1.0,13.0,2.0,10305.0,1.0,20.0,89926,7369,Many,0
4.0,12.0,Syndra,Side.red,2.0,1530.0,2283.0,1530.0,6.0,0.6666666666666666,2.0,13.0,28.0,12528.0,0.0,21.0,122625,8913,Many,1
12.0,4.0,Cassiopeia,Side.blue,2.0,0.0,7245.0,0.0,6.0,0.6666666666666666,2.0,13.0,19.0,15979.0,0.0,24.0,102784,8120,Many,0
4.0,12.0,Vex,Side.red,1.0,177.0,177.0,177.0,6.0,0.6666666666666666,3.0,13.0,21.0,15624.0,0.0,23.0,99729,8077,Many,1
7.0,4.0,Ezreal,Side.blue,4.0,5048.0,6774.0,5048.0,6.0,0.666666667,0.0,14.0,0.0,20250.0,2.0,17.0,127397,10041,Many,2
3.0,4.0,Lucian,Side.red,2.0,2834.0,7804.0,2834.0,6.0,0.666666667,2.0,13.0,1.0,12002.0,1.0,15.0,77801,7409,Many,2
4.0,12.0,Corki,Side.red,3.0,36.0,3089.0,36.0,6.0,0.666666667,1.0,13.0,2.0,15405.0,0.0,21.0,98620,7882,Many,2
4.0,12.0,Orianna,Side.blue,3.0,2378.0,3820.0,2378.0,6.0,0.666666667,1.0,13.0,14.0,16019.0,0.0,29.0,107683,8229,Many,2
14.0,4.0,Zed,Side.red,3.0,1187.0,1271.0,1187.0,10.0,0.7,4.0,13.0,3.0,18402.0,0.0,35.0,80342,9695,Many,2
4.0,14.0,Yasuo,Side.blue,3.0,0.0,1631.0,0.0,10.0,0.7,4.0,13.0,3.0,19168.0,0.0,11.0,105820,8899,Many,0
4.0,7.0,Draven,Side.blue,4.0,3088.0,3247.0,3088.0,10.0,0.7,3.0,13.0,6.0,26168.0,1.0,7.0,139309,10997,Many,2
4.0,12.0,Irelia,Side.red,4.0,973.0,4542.0,973.0,7.0,0.7142857140000001,1.0,13.0,8.0,17708.0,0.0,10.0,89397,7605,Many,2
4.0,12.0,Irelia,Side.red,4.0,973.0,4542.0,973.0,7.0,0.7142857140000001,1.0,13.0,8.0,17708.0,0.0,10.0,89397,7605,Many,2
12.0,4.0,Sylas,Side.red,3.0,484.0,2226.0,484.0,7.0,0.7142857140000001,2.0,13.0,19.0,21904.0,0.0,10.0,93630,8690,Many,2
4.0,7.0,Ezreal,Side.blue,4.0,3040.0,10530.0,3040.0,7.0,0.7142857142857143,1.0,14.0,0.0,22331.0,0.0,23.0,152708,11244,Many,1
4.0,12.0,Viktor,Side.red,3.0,908.0,2738.0,908.0,7.0,0.7142857142857143,2.0,14.0,21.0,20554.0,0.0,16.0,128850,10293,Many,0
12.0,4.0,Syndra,Side.red,3.0,674.0,674.0,674.0,7.0,0.7142857142857143,2.0,13.0,19.0,17660.0,0.0,26.0,99112,9162,Many,1
4.0,12.0,Yone,Side.blue,2.0,1952.0,3566.0,1952.0,7.0,0.7142857142857143,3.0,13.0,15.0,14912.0,1.0,29.0,107091,9690,Many,1
3.0,4.0,Ezreal,Side.blue,7.0,5302.0,13698.0,5302.0,11.0,0.7272727272727273,1.0,13.0,1.0,18543.0,2.0,21.0,118937,9895,Many,0
4.0,14.0,Annie,Side.red,4.0,1752.0,1800.0,1752.0,11.0,0.7272727272727273,4.0,13.0,21.0,21004.0,1.0,17.0,79592,9551,Many,0
4.0,12.0,Yone,Side.red,2.0,1399.0,5120.0,1399.0,8.0,0.75,4.0,14.0,8.0,22211.0,0.0,18.0,145458,10416,Many,2
4.0,14.0,Zed,Side.blue,3.0,570.0,1347.0,570.0,8.0,0.75,3.0,14.0,4.0,21566.0,0.0,23.0,113726,9438,Many,0
12.0,4.0,Corki,Side.red,3.0,1224.0,1922.0,1224.0,8.0,0.75,3.0,13.0,1.0,18228.0,1.0,26.0,126456,10958,Many,1
4.0,7.0,Xayah,Side.red,8.0,56.0,3087.0,56.0,12.0,0.75,1.0,14.0,8.0,21986.0,0.0,30.0,132983,9751,Many,2
4.0,7.0,Tristana,Side.red,4.0,818.0,818.0,818.0,12.0,0.75,5.0,14.0,6.0,27377.0,1.0,19.0,123948,11661,Many,2
