d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,role,minions_killed,server
12.0,4.0,Yasuo,Side.blue,1.0,2050.0,4857.0,2050.0,9.0,0.1111111111111111,0.0,13.0,18.0,18966.0,1.0,9.0,116741,8221,TopLane_Jungle,Many,1
14.0,12.0,Jax,Side.blue,0.0,0.0,0.0,0.0,8.0,0.125,1.0,10.0,7.0,14072.0,0.0,9.0,42553,4749,TopLane_Jungle,Few,0
12.0,4.0,Gragas,Side.blue,0.0,0.0,417.0,0.0,8.0,0.125,1.0,9.0,17.0,12114.0,0.0,5.0,25709,3571,Other,Few,2
4.0,12.0,Riven,Side.blue,1.0,611.0,3596.0,611.0,8.0,0.125,0.0,14.0,19.0,19873.0,0.0,21.0,98687,8164,TopLane_Jungle,Many,2
12.0,4.0,Yone,Side.red,1.0,618.0,2365.0,618.0,8.0,0.125,0.0,12.0,8.0,16108.0,0.0,9.0,96777,6804,Other,Many,0
14.0,4.0,Karma,Side.blue,1.0,0.0,0.0,0.0,8.0,0.125,0.0,8.0,13.0,10114.0,0.0,24.0,9585,3781,Other,Few,1
12.0,4.0,Viktor,Side.blue,0.0,0.0,172.0,0.0,8.0,0.125,1.0,9.0,6.0,11545.0,0.0,10.0,32192,4199,Other,Few,1
4.0,6.0,Tryndamere,Side.red,1.0,0.0,1457.0,0.0,8.0,0.125,0.0,12.0,10.0,23575.0,0.0,13.0,108952,6891,TopLane_Jungle,Many,0
3.0,4.0,Aphelios,Side.blue,1.0,4891.0,4891.0,4891.0,8.0,0.125,0.0,11.0,11.0,14598.0,1.0,19.0,90847,7397,Other,Many,1
11.0,4.0,Kindred,Side.red,1.0,0.0,6307.0,0.0,8.0,0.125,0.0,8.0,5.0,13543.0,0.0,21.0,55787,4164,TopLane_Jungle,Few,1
12.0,4.0,Gnar,Side.blue,0.0,755.0,9403.0,755.0,7.0,0.1428571428571428,1.0,13.0,14.0,22655.0,0.0,20.0,65827,7747,TopLane_Jungle,Many,0
3.0,4.0,Irelia,Side.blue,1.0,0.0,48.0,0.0,7.0,0.1428571428571428,0.0,8.0,7.0,10406.0,0.0,5.0,37729,4247,Other,Many,1
4.0,3.0,Twitch,Side.blue,1.0,0.0,0.0,0.0,7.0,0.1428571428571428,0.0,9.0,6.0,9896.0,0.0,7.0,35563,5046,Other,Few,0
1.0,4.0,Jinx,Side.red,1.0,0.0,0.0,0.0,7.0,0.1428571428571428,0.0,9.0,6.0,10595.0,0.0,14.0,42420,4934,Other,Many,1
12.0,4.0,Jayce,Side.blue,0.0,0.0,4966.0,0.0,7.0,0.1428571428571428,1.0,11.0,4.0,12347.0,0.0,16.0,59726,6236,TopLane_Jungle,Many,1
4.0,12.0,Renekton,Side.red,0.0,1196.0,1196.0,1196.0,7.0,0.142857143,1.0,11.0,10.0,21347.0,0.0,14.0,64766,6094,TopLane_Jungle,Many,2
4.0,3.0,Jhin,Side.blue,1.0,0.0,0.0,0.0,7.0,0.142857143,0.0,7.0,5.0,8765.0,0.0,8.0,23187,3736,Other,Few,2
7.0,4.0,Jinx,Side.blue,1.0,270.0,1673.0,270.0,7.0,0.142857143,0.0,12.0,7.0,15266.0,1.0,12.0,98103,7698,Other,Many,2
4.0,14.0,Jayce,Side.red,0.0,1957.0,4146.0,1957.0,7.0,0.142857143,1.0,10.0,4.0,10080.0,0.0,7.0,52934,5292,Other,Many,2
4.0,7.0,Vayne,Side.red,0.0,0.0,0.0,0.0,7.0,0.142857143,1.0,10.0,5.0,12016.0,0.0,8.0,35721,5250,Other,Many,2
7.0,4.0,Ezreal,Side.red,0.0,204.0,204.0,204.0,7.0,0.142857143,1.0,10.0,0.0,17082.0,1.0,17.0,53396,6074,Other,Many,2
4.0,12.0,Jayce,Side.red,0.0,2148.0,3978.0,2148.0,6.0,0.1666666666666666,1.0,9.0,5.0,8886.0,0.0,10.0,53523,5397,TopLane_Jungle,Many,1
4.0,12.0,TahmKench,Side.red,1.0,0.0,0.0,0.0,6.0,0.1666666666666666,0.0,10.0,19.0,15735.0,0.0,5.0,53978,4728,TopLane_Jungle,Many,1
14.0,12.0,Camille,Side.blue,0.0,0.0,0.0,0.0,6.0,0.1666666666666666,1.0,10.0,11.0,13739.0,0.0,5.0,35484,4502,TopLane_Jungle,Few,1
12.0,4.0,Kennen,Side.blue,1.0,960.0,1785.0,960.0,6.0,0.1666666666666666,0.0,10.0,12.0,14733.0,0.0,10.0,46218,5430,TopLane_Jungle,Many,1
4.0,12.0,Fiora,Side.blue,1.0,0.0,0.0,0.0,6.0,0.1666666666666666,0.0,11.0,3.0,15150.0,0.0,10.0,59015,5696,TopLane_Jungle,Many,0
4.0,12.0,Camille,Side.red,0.0,0.0,439.0,0.0,6.0,0.1666666666666666,1.0,10.0,2.0,10912.0,0.0,7.0,31905,5374,TopLane_Jungle,Few,1
1.0,4.0,Jhin,Side.blue,0.0,135.0,135.0,135.0,6.0,0.1666666666666666,1.0,9.0,7.0,8259.0,0.0,3.0,46763,4645,Other,Few,1
