d_spell,f_spell,champion,side,assists,damage_objectives,damage_building,damage_turrets,deaths,kda,kills,level,time_cc,damage_taken,turret_kills,vision_score,damage_total,gold_earned,minions_killed,server
4.0,14.0,Riven,Side.blue,2.0,0.0,271.0,0.0,6.0,0.5,1.0,13.0,13.0,16747.0,0.0,19.0,92857,7600,Many,0
4.0,14.0,Riven,Side.blue,0.0,1831.0,1831.0,1831.0,6.0,0.5,3.0,14.0,25.0,22320.0,1.0,12.0,119658,9305,Many,0
12.0,4.0,Rumble,Side.red,2.0,540.0,1548.0,540.0,4.0,0.5,0.0,13.0,7.0,12283.0,0.0,24.0,109811,7736,Many,0
4.0,12.0,Jax,Side.red,2.0,748.0,1935.0,748.0,8.0,0.5,2.0,14.0,7.0,24162.0,1.0,9.0,135389,9924,Many,2
12.0,4.0,Irelia,Side.blue,2.0,2259.0,6117.0,2259.0,8.0,0.5,2.0,14.0,6.0,29483.0,1.0,12.0,150757,10667,Many,2
4.0,14.0,Teemo,Side.blue,0.0,2954.0,19897.0,2954.0,4.0,0.5,2.0,13.0,31.0,12100.0,1.0,13.0,120745,8510,Many,2
14.0,12.0,Aatrox,Side.blue,1.0,944.0,944.0,944.0,4.0,0.5,1.0,13.0,21.0,21035.0,0.0,20.0,88654,7481,Many,2
11.0,12.0,Kayn,Side.red,2.0,989.0,1893.0,989.0,12.0,0.5,4.0,14.0,11.0,37281.0,0.0,14.0,133106,10797,Many,2
11.0,12.0,Kayn,Side.red,2.0,1039.0,8310.0,1039.0,8.0,0.5,2.0,13.0,11.0,27179.0,1.0,8.0,111732,8960,Many,2
4.0,12.0,Jayce,Side.red,1.0,651.0,9057.0,651.0,4.0,0.5,1.0,13.0,3.0,12782.0,0.0,13.0,112819,7898,Many,2
4.0,12.0,Yone,Side.red,2.0,1172.0,4534.0,1172.0,8.0,0.5,2.0,14.0,15.0,20429.0,0.0,8.0,117765,9685,Many,2
4.0,12.0,Yone,Side.blue,2.0,0.0,4016.0,0.0,6.0,0.5,1.0,13.0,11.0,15241.0,0.0,29.0,87728,7557,Many,0
